



















2-1010:0000 AAA:IBCQiU:Sin modelo:Sin color:86.0:true:1010:1010:1010
2-1011:0000 AAA:AnDCHP:Sin modelo:Sin color:82.0:true:1011:1011:1011
2-1012:0000 AAA:MgAgHP:Sin modelo:Sin color:88.0:false:1012:1012:1012
2-1013:0000 AAA:AamLlT:Sin modelo:Sin color:1.0:false:1013:1013:1013
2-1014:0000 AAA:nzNSNW:Sin modelo:Sin color:19.0:true:1014:1014:1014
2-1015:0000 AAA:OIKBRM:Sin modelo:Sin color:11.0:false:1015:1015:1015
2-1016:0000 AAA:gyktDg:Sin modelo:Sin color:24.0:true:1016:1016:1016
2-1017:0000 AAA:NvRjsd:Sin modelo:Sin color:82.0:false:1017:1017:1017
2-1018:0000 AAA:iSXAFE:Sin modelo:Sin color:21.0:true:1018:1018:1018
2-1019:0000 AAA:uhUrik:Sin modelo:Sin color:67.0:false:1019:1019:1019
